NAMA PERUMAHAN,STATUS,TOTAL HUNIAN,RADIUS,SITE,TERRITORY,TIPE PERUMAHAN,TIPE PLN,AREA PLN,GRADING,KOMPETITOR
GADING DEPOK RESIDENCE,ACTIVE,198,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GADING ELOK 1 (1),ACTIVE,322,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GADING ELOK 1 (2),ACTIVE,339,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GADING ELOK 2,ACTIVE,352,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GADING PELANGI - PELANGI JINGGA EXT,ACTIVE,67,UNDER 200,JAKARTA UTARA,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
GALUH MAS (1) EXT,ACTIVE,137,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
GALUH MAS (1) GRAND MEDITERANIA & VICTORIAN RESIDENCE,ACTIVE,154,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GALUH MAS (2) CLUSTER GARDENIA PARK,ACTIVE,164,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GALUH MAS (3) CLUSTER CITY VIEW & RUKO ARCADIA,ACTIVE,227,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GALUH MAS (3) Rukost Colombus & Marketing Gallery EXT ,ACTIVE,63,UNDER 200,KAB. KARAWANG,KABUPATEN,RUKO,UG,JABAR,C,INDIHOME
GALUH MAS (4) COURT YARD & RUKO ,ACTIVE,272,OVER 200,KAB. KARAWANG,KABUPATEN,MIXED,AERIAL,JABAR,C,INDIHOME
GALUH MAS (4) EMPORIUM BLOK A,ACTIVE,6,UNDER 200,KAB. KARAWANG,KABUPATEN,RUKO,AERIAL,JABAR,C,INDIHOME
GALUH MAS (5),ACTIVE,409,OVER 200,KAB. KARAWANG,KABUPATEN,MIXED,AERIAL,JABAR,C,INDIHOME
GALUH MAS (6) MY FLOWER & RUKO,ACTIVE,345,OVER 200,KAB. KARAWANG,KABUPATEN,MIXED,AERIAL,JABAR,C,INDIHOME
GALUH MAS (7) RIVER GARDEN & ASTERIA,ACTIVE,97,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GALUH MAS (7) RIVER GARDEN & ASTERIA EXT,ACTIVE,147,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GANDASARI RESIDENCE,ACTIVE,230,OVER 200,KAB. TANGERANG,KABUPATEN,OPEN AREA,AERIAL,DKI,C,INDIHOME
GARDENS @ GRAHA CANDI SAWANGAN (1),ACTIVE,132,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GARDENS @ GRAHA CANDI SAWANGAN (1) EXT,ACTIVE,326,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GARDENS @ GRAHA CANDI SAWANGAN (2),ACTIVE,81,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GARDENS @ GRAHA CANDI SAWANGAN (2) Grand Amity Ext,ACTIVE,101,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,UG,JABAR,C,INDIHOME
GARDENS @ GRAHA CANDI SAWANGAN (3),ACTIVE,1,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GARDENS @ GRAHA CANDI SAWANGAN (4) Cluster Kamila,ACTIVE,257,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,UG,JABAR,C,INDIHOME
GLADIOLA RESIDENCE,ACTIVE,236,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,UG,DKI,C,INDIHOME
GOLDEN CITY BLOK A & BLOK B,ACTIVE,324,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
GOLDEN PALM RESIDENCE (1),ACTIVE,230,OVER 200,JAKARTA BARAT,KOTAMADYA,CLUSTER,AERIAL,DKI,B,INDIHOME
GOLDEN PALM RESIDENCE (2),ACTIVE,259,OVER 200,JAKARTA BARAT,KOTAMADYA,CLUSTER,AERIAL,DKI,B,INDIHOME
GRAHA CINERE / CINERE COUNTRY - Penida 8 Blok G6 Ext,ACTIVE,10,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAHA INDAH PAMULANG 1 EXT,ACTIVE,132,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
GRAHA INDAH PAMULANG 2,ACTIVE,347,OVER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
GRAHA LEGOK,ACTIVE,93,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
GRAHA PONDOK PETIR,ACTIVE,109,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
GRAHA SAWANGAN RESIDENCE & RUKO,ACTIVE,97,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAMA PURI TAMAN SARI (1),ACTIVE,228,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRAMA PURI TAMAN SARI (2),ACTIVE,382,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRAMA PURI TAMAN SARI (3),ACTIVE,310,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRAMA PURI TAMAN SARI (4),ACTIVE,229,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRAMA PURI TAMAN SARI (5),ACTIVE,338,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRAMA PURI TAMAN SARI (6),ACTIVE,331,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRANADA CITY ESTATE EXT,ACTIVE,112,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
GRAND CIBUBUR,ACTIVE,174,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,UG,DKI,C,INDIHOME
GRAND CIBUBUR COUNTRY - COTTON FIELD & CEDDAR FOREST,ACTIVE,109,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND CIBUBUR COUNTRY - COTTON FIELD & CEDDAR FOREST EXT,ACTIVE,247,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND CIBUBUR COUNTRY (1) CORN FIELD RW.16,ACTIVE,235,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND CIBUBUR COUNTRY (5) COTTON WOOD,ACTIVE,270,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND MEKARSARI RESIDENCE - HOOKBERRY & JACKFRUIT,ACTIVE,386,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND MEKARSARI RESIDENCE - Marketing Office,ACTIVE,1,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND MELATI RESIDENCE,ACTIVE,102,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
GRAND NUSA INDAH (2),ACTIVE,140,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
GRAND NUSA INDAH (3),ACTIVE,168,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,MIXED,JABAR,C,INDIHOME
GRAND NUSA INDAH (4),ACTIVE,262,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
GRAND NUSA INDAH (7),ACTIVE,214,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
GRAND PARUNG RESIDENCE,ACTIVE,101,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND PERMATA SEPATAN (3) EXT,ACTIVE,166,UNDER 200,KAB. TANGERANG,KABUPATEN,OPEN AREA,AERIAL,DKI,C,INDIHOME
GRAND SERPONG PERMAI,ACTIVE,116,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
GRAND TARUMA - SENOPATI,ACTIVE,100,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME
"GRAND TARUMA (1) BRAWIJAYA, MULAWARMAN, RUKO DHARMAWANGSA",ACTIVE,343,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME
GRAND TARUMA (1) RUKO KOMERSIL,ACTIVE,18,UNDER 200,KAB. KARAWANG,KABUPATEN,RUKO,UG,JABAR,C,INDIHOME
GRAND TARUMA (2) BLOK N,ACTIVE,279,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND TARUMA (3) BLOK N,ACTIVE,96,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRAND TARUMA (3) EXT,ACTIVE,186,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,MIXED,JABAR,C,INDIHOME
GRAND TARUMA (3) EXT,ACTIVE,2,UNDER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,UG,JABAR,C,INDIHOME
GRAND TARUMA (4) AIR LANGGA,ACTIVE,254,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME
"GRAND TARUMA (5) GUNAWARMAN, KARTANEGARA & SYAILENDRA",ACTIVE,313,OVER 200,KAB. KARAWANG,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME
GRAND WISATA - CELEBRATION TOWN,ACTIVE,166,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (12) CHERRY VILLE,ACTIVE,212,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (2) SERENADE LAGOON,ACTIVE,67,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (3) CELEBRATION GARDEN,ACTIVE,174,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (3) CELEBRATION GARDEN EXT,ACTIVE,14,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (3) CELEBRATION GARDEN EXT,ACTIVE,12,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (4) SPRING FIESTA,ACTIVE,132,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (4) SPRING FIESTA EXT,ACTIVE,26,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (6) SUMMER FESTIVAL,ACTIVE,177,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (6) SUMMER FESTIVAL EXT,ACTIVE,6,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (8) MONTE AVIOLO,ACTIVE,182,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,MIXED,JABAR,B,INDIHOME & MY REPUBLIC
GRAND WISATA (8) MONTE AVIOLO EXT,ACTIVE,164,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,MIXED,JABAR,B,INDIHOME & MY REPUBLIC
GREEN MANSION CURUG,ACTIVE,201,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
GREEN MANSION CURUG EXT,ACTIVE,29,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
GREEN PERMATA,ACTIVE,304,OVER 200,JAKARTA SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
GREEN PERMATA EXT,ACTIVE,1,UNDER 200,JAKARTA SELATAN,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
GREEN VALLEY,ACTIVE,38,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
Griya Alam Sentosa Blok B2-B7 Ext,ACTIVE,14,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (1),ACTIVE,192,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (1) EXT,ACTIVE,13,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (10),ACTIVE,258,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (10) EXT RW23,ACTIVE,140,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (11),ACTIVE,287,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (11) EXT RW24,ACTIVE,117,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (12),ACTIVE,479,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (13),ACTIVE,392,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (14),ACTIVE,386,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (15),ACTIVE,396,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (16),ACTIVE,416,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (18) RW 39,ACTIVE,431,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (3),ACTIVE,251,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (4),ACTIVE,436,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (5),ACTIVE,447,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (6),ACTIVE,308,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (6) EXT,ACTIVE,33,UNDER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (7),ACTIVE,313,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (8),ACTIVE,366,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA ASRI 2 (9),ACTIVE,391,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (1) CLEOPATRA & MONALISA,ACTIVE,205,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (1) EXT,ACTIVE,120,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (10),ACTIVE,372,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (11),ACTIVE,215,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (4) BLOK I & J,ACTIVE,341,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (4) EXT,ACTIVE,89,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (5),ACTIVE,198,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (5) EXT,ACTIVE,38,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (5) EXT,ACTIVE,105,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (6),ACTIVE,291,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 1 (6) EXT,ACTIVE,73,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 2 (1),ACTIVE,231,OVER 200,KODYA DEPOK,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 2 (1) Blok C1 Ext,ACTIVE,22,UNDER 200,KODYA DEPOK,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 2 (1) Ext,ACTIVE,162,UNDER 200,KODYA DEPOK,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA BUKIT JAYA 2 (2),ACTIVE,369,OVER 200,KODYA DEPOK,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA CENDEKIA (1),ACTIVE,346,OVER 200,KAB. BOGOR,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA CENDEKIA (1) RUKO EXT,ACTIVE,30,UNDER 200,KAB. BOGOR,KOTAMADYA,RUKO,AERIAL,JABAR,C,INDIHOME
GRIYA CENDEKIA (2),ACTIVE,146,UNDER 200,KAB. BOGOR,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA CENDEKIA (3),ACTIVE,156,UNDER 200,KAB. BOGOR,KOTAMADYA,OPEN AREA,AERIAL,JABAR,C,INDIHOME
GRIYA CIPAYUNG & JL. MASJID 3 EXT,ACTIVE,113,UNDER 200,JAKARTA TIMUR,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
GRIYA KEDAUNG ASRI,ACTIVE,81,UNDER 200,TANGERANG SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
GRIYA MITRA MUSTIKA,ACTIVE,183,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA PANCORAN MAS INDAH,ACTIVE,373,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA PERIGI SAWANGAN,ACTIVE,202,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
GRIYA PUTRA MANDIRI,ACTIVE,207,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
GROGOL SELATAN - Loka Permai & Komplek Jasa Raharja Ext ,ACTIVE,34,UNDER 200,JAKARTA SELATAN,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
HARAPAN INDAH - ASIA TROPIS & RUKO,ACTIVE,147,UNDER 200,KAB. BEKASI,KABUPATEN,CLUSTER,UG,DKI,B,INDIHOME
HARAPAN MULYA REGENCY (2) ACACIA,ACTIVE,340,OVER 200,KAB. BEKASI,KABUPATEN,OPEN AREA,AERIAL,JABAR,C,INDIHOME
HARVEST CITY (23) CLUSTER DAISUKI,ACTIVE,385,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
IMPERIAL GADING - PELINDO 2,ACTIVE,209,OVER 200,JAKARTA UTARA,KOTAMADYA,CLUSTER,AERIAL,DKI,B,INDIHOME
JAGAKARSA AREA EXT,ACTIVE,51,UNDER 200,JAKARTA SELATAN,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
JAKARTA GARDEN CITY (1) SHINANO,ACTIVE,280,OVER 200,JAKARTA TIMUR,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
JAKARTA GARDEN CITY (3) ZEBRINA & ALAMANDA GARDEN,ACTIVE,183,UNDER 200,JAKARTA TIMUR,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
JAKARTA GARDEN CITY (3) ZEBRINA & ALAMANDA GARDEN EXT,ACTIVE,152,UNDER 200,JAKARTA TIMUR,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
JAKARTA GARDEN CITY (4) ALAMANDA GARDEN,ACTIVE,231,OVER 200,JAKARTA TIMUR,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
JAKASETIA AREA - JL. H. UMAR,ACTIVE,305,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIASIH AREA - JL. MASJID BAITUSSALAM,ACTIVE,122,UNDER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIASIH AREA - JL. MASJID BAITUSSALAM EXT,ACTIVE,265,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIASIH AREA - KEBANTENAN JL. SWATANTRA 4,ACTIVE,158,UNDER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIASIH AREA - KP. BULAK JL. SUBUR,ACTIVE,236,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIBENING BARU AREA (3) JL. KEMANG SARI 1,ACTIVE,319,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATICEMPAKA AREA - JL. H. NAWIN EXT,ACTIVE,65,UNDER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
JATICEMPAKA AREA (3) JL. H. NAWIN,ACTIVE,320,OVER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
JATIKRAMAT AREA - JL. H. DJAIN RW.08,ACTIVE,145,UNDER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
JATIKRAMAT AREA - JL. JATIKRAMAT KAUM,ACTIVE,136,UNDER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIKRAMAT AREA - JL. JATIKRAMAT KAUM EXT,ACTIVE,43,UNDER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATILUHUR AREA (1),ACTIVE,368,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATILUHUR AREA (2),ACTIVE,221,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATILUHUR AREA (2) NATA GARDEN,ACTIVE,13,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
JATILUHUR AREA (2) NATA GARDEN ABC Ext,ACTIVE,14,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
JATILUHUR AREA (4),ACTIVE,211,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATILUHUR AREA (4) EXT,ACTIVE,126,UNDER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATILUHUR AREA (5) JL.H.TEKEL RW11,ACTIVE,348,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIMAKMUR AREA - JL. CILEPUK EXT,ACTIVE,193,UNDER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
JATIMAKMUR AREA - JL. NAWI,ACTIVE,299,OVER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
JATIMAKMUR AREA EXT ,ACTIVE,138,UNDER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
JATIMEKAR AREA - PEDURENAN RW.03,ACTIVE,52,UNDER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIMEKAR AREA (2) JL. KODAU RAYA EXT,ACTIVE,92,UNDER 200,KODYA BEKASI,KOTAMADYA,OPEN AREA,AERIAL,DKI,C,INDIHOME
JATIMURNI AREA - KAMPUNG SAWAH AREA (1),ACTIVE,210,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIMURNI AREA - KAMPUNG SAWAH AREA (1) EXT,ACTIVE,22,UNDER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIMURNI AREA - RUMAH PERUBAHAN,ACTIVE,29,UNDER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIMURNI AREA - RUMAH PERUBAHAN EXT,ACTIVE,1,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
JATIRADEN AREA - JL. RAYA KRANGGAN,ACTIVE,336,OVER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIRANGGON AREA,ACTIVE,110,UNDER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
JATIRANGGON AREA - KP. RADEN,ACTIVE,148,UNDER 200,KODYA BEKASI,KOTAMADYA,MIXED,AERIAL,DKI,C,INDIHOME
