NAMA PERUMAHAN,STATUS,TOTAL HUNIAN,RADIUS,SITE,TERRITORY,TIPE PERUMAHAN,TIPE PLN,AREA PLN,GRADING,KOMPETITOR
"PEKAYON JAYA - GRIYA CENDANA,DSK",ACCEPTED,234,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,MIXED,JABAR,C,INDIHOME
PERINTIS WARINGIN,ACCEPTED,99,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME & OXYGEN
PERMATA BOGOR RESIDENCE,ACCEPTED,750,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PERMATA GREEN PARK,ACCEPTED,60,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PERUMAHAN MANGGIS INDAH,ACCEPTED,234,OVER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,MY REPUBLIC
PERUMAHAN ORGANIK DE INTEL DAMJAYA,ACCEPTED,70,UNDER 200,JAKARTA TIMUR,KOTAMADYA,CLUSTER,AERIAL,DKI,C,INDIHOME
PERUMAHAN PURI MERAK,ACCEPTED,333,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,AERIAL,DKI,C,INDIHOME
PERUMAHAN SABA UTAMA,ACCEPTED,95,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PESONA CINERE RESIDENCE - CLUSTER BARCELONA,ACCEPTED,81,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
PESONA CINERE RESIDENCE - CLUSTER REGINA,ACCEPTED,106,UNDER 200,KODYA DEPOK,KOTAMADYA,CLUSTER,AERIAL,JABAR,C,INDIHOME
PESONA DARUSSALAM,ACCEPTED,115,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PESONA INTILAND - CLUSTER RINJANI,ACCEPTED,150,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PESONA PRIMA CIKAHURIPAN 5,ACCEPTED,483,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PONDOK DAMAI,ACCEPTED,1073,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
PREMIER PAVILION,ACCEPTED,201,OVER 200,JAKARTA BARAT,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
PREMIER SERENITY,ACCEPTED,214,OVER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,UG,JABAR,B,INDIHOME
PRIMA HARAPAN REGENCY - CLUSTER GOLDEN,ACCEPTED,197,UNDER 200,KODYA BEKASI,KOTAMADYA,CLUSTER,AERIAL,DKI,B,INDIHOME
PURI ARTHA SENTOSA,ACCEPTED,1533,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PURI ASRI,ACCEPTED,82,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
"PURI ASRI RESIDENCE BLOK B, C & D",ACCEPTED,603,OVER 200,KAB. BEKASI,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PURI HARMONI 1,ACCEPTED,592,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME & MY REPUBLIC
PURI INSANI 1,ACCEPTED,110,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PURI JAYA - PURI CENDRAWASIH,ACCEPTED,100,UNDER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,UG,DKI,C,INDIHOME
PURI JAYA - PURI KASUARI,ACCEPTED,290,OVER 200,KAB. TANGERANG,KABUPATEN,CLUSTER,UG,DKI,C,INDIHOME
PURI KARADENAN,ACCEPTED,461,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
PURI MAS 2,ACCEPTED,258,OVER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
ROROTAN KIRANA LEGACY - CINNAMON,ACCEPTED,200,OVER 200,JAKARTA UTARA,KOTAMADYA,CLUSTER,UG,DKI,B,INDIHOME
SAMASTA CITAYAM 2,ACCEPTED,96,UNDER 200,KAB. BOGOR,KABUPATEN,CLUSTER,AERIAL,JABAR,C,INDIHOME
